# Name, Student Number
# Nikolas Maier, 500461990
# Oluwatomilayo Adegbite, 500569283
Gambler #,Round #,Optimal Arm,Average reward,Times optimal action picked,Probability of Picking Optimal,Actual Probability
27,1800,0,113.3,552,0.3328009817,0.7514507938
27,1900,0,119.7,589,0.3296231296,0.7514507938
27,2000,0,125.7,619,0.3392480291,0.7514507938
27,2100,0,132.4,652,0.3283362305,0.7514507938
27,2200,0,140,691,0.3338087067,0.7514507938
27,2300,0,147.5,722,0.3027437543,0.7514507938
27,2400,0,154.9,760,0.3492389977,0.7514507938
27,2500,0,162.1,784,0.3044453576,0.7514507938
27,2600,0,170,827,0.4105755955,0.7514507938
27,2700,0,177.1,870,0.4131871828,0.7514507938
27,2800,0,184.8,929,0.5399125542,0.7514507938
27,2900,0,192.3,975,0.5135614157,0.7514507938
27,3000,0,199.3,1033,0.563062822,0.7514507938
27,3100,0,206.8,1098,0.6142058954,0.7514507938
27,3200,0,214.4,1160,0.5978937184,0.7514507938
27,3300,0,221.5,1226,0.6387410728,0.7514507938
27,3400,0,229.8,1284,0.6087493144,0.7514507938
27,3500,0,237,1347,0.6208094053,0.7514507938
27,3600,0,244.3,1397,0.5695550619,0.7514507938
27,3700,0,252.7,1472,0.6834200904,0.7514507938
27,3800,0,259.7,1535,0.6652481133,0.7514507938
27,3900,0,267.1,1603,0.679097755,0.7514507938
27,4000,0,274.3,1663,0.6042092743,0.7514507938
27,4100,0,281.3,1736,0.6906453932,0.7514507938
27,4200,0,288.5,1822,0.7970967107,0.7514507938
27,4300,0,296.9,1906,0.827828165,0.7514507938
27,4400,0,304.1,1997,0.8664057006,0.7514507938
27,4500,0,311.2,2085,0.893141571,0.7514507938
27,4600,0,319,2175,0.8941269075,0.7514507938
27,4700,0,326.8,2268,0.9264286269,0.7514507938
27,4800,0,334.8,2364,0.9463007077,0.7514507938
27,4900,0,342.9,2463,0.9685852098,0.7514507938
27,5000,0,350.7,2562,0.9800730392,0.7514507938
28,0,4,0,0,0.1,0.9188336261
28,100,4,6.3,20,0.210927887,0.9188336261
28,200,4,13.5,48,0.298380407,0.9188336261
28,300,4,20.9,94,0.4587383113,0.9188336261
28,400,4,28.8,153,0.5767550191,0.9188336261
28,500,4,37.2,197,0.5378536081,0.9188336261
28,600,4,45.7,256,0.5854189724,0.9188336261
28,700,4,54,317,0.6570364978,0.9188336261
28,800,4,62,383,0.710055414,0.9188336261
28,900,4,71.6,448,0.691617585,0.9188336261
28,1000,4,80,517,0.6949386375,0.9188336261
28,1100,4,88.4,590,0.7405731895,0.9188336261
28,1200,4,97.2,662,0.7445976482,0.9188336261
28,1300,4,106.2,743,0.7958627475,0.9188336261
28,1400,4,114.9,810,0.7299184856,0.9188336261
28,1500,4,123.2,887,0.7785324899,0.9188336261
28,1600,4,132.7,958,0.7443022904,0.9188336261
28,1700,4,141.6,1024,0.6943035298,0.9188336261
28,1800,4,150.3,1094,0.6851542899,0.9188336261
28,1900,4,159.6,1154,0.6321343241,0.9188336261
28,2000,4,169.3,1221,0.6466043868,0.9188336261
28,2100,4,178,1276,0.5747680055,0.9188336261
28,2200,4,187.1,1331,0.5589830904,0.9188336261
28,2300,4,195.8,1389,0.588912913,0.9188336261
28,2400,4,205.4,1457,0.633164268,0.9188336261
28,2500,4,214.5,1519,0.6332406089,0.9188336261
28,2600,4,223.3,1579,0.6097280129,0.9188336261
28,2700,4,233,1646,0.653842593,0.9188336261
28,2800,4,241.8,1708,0.6403715585,0.9188336261
28,2900,4,250.7,1779,0.6972270852,0.9188336261
28,3000,4,259.7,1850,0.7005003752,0.9188336261
28,3100,4,268.7,1917,0.6745767399,0.9188336261
28,3200,4,277.3,1990,0.7092062185,0.9188336261
28,3300,4,286.4,2061,0.7048249232,0.9188336261
28,3400,4,295.9,2140,0.7540078001,0.9188336261
28,3500,4,305.4,2225,0.8036879767,0.9188336261
28,3600,4,314.1,2311,0.8707089294,0.9188336261
28,3700,4,323.1,2401,0.8847949948,0.9188336261
28,3800,4,332,2487,0.8635539134,0.9188336261
28,3900,4,341.5,2579,0.887363957,0.9188336261
28,4000,4,350.7,2663,0.8491754303,0.9188336261
28,4100,4,359.4,2746,0.8519494074,0.9188336261
28,4200,4,368.6,2835,0.8962579966,0.9188336261
28,4300,4,377.2,2926,0.9023475778,0.9188336261
28,4400,4,386.4,3010,0.8614441133,0.9188336261
28,4500,4,395.8,3096,0.8490312758,0.9188336261
28,4600,4,405.1,3172,0.7958419748,0.9188336261
28,4700,4,414.3,3244,0.7508539532,0.9188336261
28,4800,4,423.5,3323,0.7882011934,0.9188336261
28,4900,4,432.7,3391,0.7341621674,0.9188336261
28,5000,4,441.8,3459,0.7047841722,0.9188336261
29,0,5,0,0,0.1,0.9974309922
29,100,5,5.1,18,0.2022660981,0.9974309922
29,200,5,9.7,33,0.2473910679,0.9974309922
29,300,5,16.2,56,0.3052947961,0.9974309922
29,400,5,24.4,88,0.3525116894,0.9974309922
29,500,5,32.7,122,0.3780535837,0.9974309922
29,600,5,41.8,161,0.4085488496,0.9974309922
29,700,5,51.1,207,0.4725184341,0.9974309922
29,800,5,60.3,254,0.4869450024,0.9974309922
29,900,5,70,306,0.524392223,0.9974309922
29,1000,5,80,368,0.5791289074,0.9974309922
29,1100,5,89.5,430,0.6294149899,0.9974309922
29,1200,5,99.1,495,0.67488498,0.9974309922
29,1300,5,108.7,571,0.7450514697,0.9974309922
29,1400,5,118.4,647,0.7729975464,0.9974309922
29,1500,5,128.4,729,0.8002325081,0.9974309922
29,1600,5,138.2,819,0.8600248573,0.9974309922
29,1700,5,148.1,901,0.8334042091,0.9974309922
29,1800,5,157.8,984,0.8543510972,0.9974309922
