# Name, Student Number
# Nikolas Maier, 500461990
# Oluwatomilayo Adegbite, 500569283
Gambler #,Round #,Optimal Arm,Average reward,Times optimal action picked,Actual Probability
75,3800,3,376.9,3791,0.9944324759
75,3900,3,386.8,3891,0.9944324759
75,4000,3,396.8,3991,0.9944324759
75,4100,3,406.8,4091,0.9944324759
75,4200,3,416.8,4191,0.9944324759
75,4300,3,426.8,4291,0.9944324759
75,4400,3,436.6,4391,0.9944324759
75,4500,3,446.5,4491,0.9944324759
75,4600,3,456.4,4591,0.9944324759
75,4700,3,466.4,4691,0.9944324759
75,4800,3,476.4,4791,0.9944324759
75,4900,3,486.4,4891,0.9944324759
75,5000,3,496.4,4991,0.9944324759
76,0,1,0,0,0.9632892503
76,100,1,8.8,82,0.9632892503
76,200,1,18.3,182,0.9632892503
76,300,1,28.1,282,0.9632892503
76,400,1,37.8,382,0.9632892503
76,500,1,47.6,482,0.9632892503
76,600,1,57.3,582,0.9632892503
76,700,1,67,682,0.9632892503
76,800,1,76.6,782,0.9632892503
76,900,1,86.3,882,0.9632892503
76,1000,1,96,982,0.9632892503
76,1100,1,106,1082,0.9632892503
76,1200,1,115.7,1182,0.9632892503
76,1300,1,125.3,1282,0.9632892503
76,1400,1,134.6,1382,0.9632892503
76,1500,1,144.2,1482,0.9632892503
76,1600,1,153.6,1582,0.9632892503
76,1700,1,163.3,1682,0.9632892503
76,1800,1,172.9,1782,0.9632892503
76,1900,1,182.8,1882,0.9632892503
76,2000,1,192.3,1982,0.9632892503
76,2100,1,201.7,2082,0.9632892503
76,2200,1,211.3,2182,0.9632892503
76,2300,1,221.1,2282,0.9632892503
76,2400,1,230.6,2382,0.9632892503
76,2500,1,239.8,2482,0.9632892503
76,2600,1,249.6,2582,0.9632892503
76,2700,1,259.3,2682,0.9632892503
76,2800,1,269.1,2782,0.9632892503
76,2900,1,278.7,2882,0.9632892503
76,3000,1,288.4,2982,0.9632892503
76,3100,1,298.1,3082,0.9632892503
76,3200,1,307.6,3182,0.9632892503
76,3300,1,317.5,3282,0.9632892503
76,3400,1,327.4,3382,0.9632892503
76,3500,1,336.8,3482,0.9632892503
76,3600,1,346.3,3582,0.9632892503
76,3700,1,356.1,3682,0.9632892503
76,3800,1,365.8,3782,0.9632892503
76,3900,1,375.2,3882,0.9632892503
76,4000,1,384.8,3982,0.9632892503
76,4100,1,394.5,4082,0.9632892503
76,4200,1,404,4182,0.9632892503
76,4300,1,413.3,4282,0.9632892503
76,4400,1,423.2,4382,0.9632892503
76,4500,1,432.8,4482,0.9632892503
76,4600,1,442.7,4582,0.9632892503
76,4700,1,452.3,4682,0.9632892503
76,4800,1,461.9,4782,0.9632892503
76,4900,1,471.3,4882,0.9632892503
76,5000,1,481.3,4982,0.9632892503
77,0,0,0,0,0.8530991089
77,100,0,8.2,82,0.8530991089
77,200,0,16.7,181,0.8530991089
77,300,0,24.6,281,0.8530991089
77,400,0,33.6,381,0.8530991089
77,500,0,42,481,0.8530991089
77,600,0,51.1,581,0.8530991089
77,700,0,60.1,681,0.8530991089
77,800,0,68.9,781,0.8530991089
77,900,0,76.9,881,0.8530991089
77,1000,0,86.1,981,0.8530991089
77,1100,0,94.2,1081,0.8530991089
77,1200,0,102.2,1181,0.8530991089
77,1300,0,111.1,1281,0.8530991089
77,1400,0,119.8,1381,0.8530991089
77,1500,0,128.6,1481,0.8530991089
77,1600,0,137.4,1581,0.8530991089
77,1700,0,145.6,1681,0.8530991089
77,1800,0,154.6,1781,0.8530991089
77,1900,0,163,1881,0.8530991089
77,2000,0,171.3,1981,0.8530991089
77,2100,0,179.2,2081,0.8530991089
77,2200,0,187.5,2181,0.8530991089
77,2300,0,196.4,2281,0.8530991089
77,2400,0,205,2381,0.8530991089
77,2500,0,214.1,2481,0.8530991089
77,2600,0,223.2,2581,0.8530991089
77,2700,0,232.1,2681,0.8530991089
77,2800,0,240.4,2781,0.8530991089
